Date,Location,Location Name,Zip Code,Lat,Long,# Meals
2023-10-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-10-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-10-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-10-30,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-10-31,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-11-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-11-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2023-11-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-11-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-11-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-11-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-11-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2023-11-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,17
2023-11-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-11-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-11-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-11-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2023-11-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2023-11-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-11-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-11-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2023-11-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-11-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-11-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-11-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-11-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-11-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-11-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2023-11-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-11-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,39
2023-11-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2023-11-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,44
2023-11-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-11-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-11-30,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-12-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2023-12-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2023-12-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-12-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2023-12-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2023-12-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-12-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2023-12-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2023-12-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2023-12-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2023-12-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2023-12-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-12-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-12-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,37
2023-12-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,37
2023-12-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2023-12-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-12-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2023-12-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,40
2023-12-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2023-12-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-12-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2023-12-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2023-12-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,39
2023-12-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-12-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,19
2023-12-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2023-12-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2023-12-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2023-12-30,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2023-12-31,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-01-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-01-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-01-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-01-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-01-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-01-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-01-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-01-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,22
2024-01-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,19
2024-01-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-01-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-01-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2024-01-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-01-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-01-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-01-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-01-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-01-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,39
2024-01-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-01-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-01-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,17
2024-01-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-01-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,20
2024-01-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-01-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-01-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-01-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-01-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-01-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-01-30,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-01-31,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-02-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-02-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-02-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-02-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-02-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-02-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-02-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-02-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-02-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2024-02-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2024-02-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2024-02-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-02-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,20
2024-02-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-02-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-02-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-02-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-02-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-02-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,37
2024-02-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-02-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-02-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-02-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-02-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-02-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,48
2024-02-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2024-02-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-02-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,24
2024-02-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-03-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-03-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-03-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-03-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,23
2024-03-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-03-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-03-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-03-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-03-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-03-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-03-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-03-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-03-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-03-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-03-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,15
2024-03-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,20
2024-03-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,22
2024-03-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-03-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-03-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-03-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,39
2024-03-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-03-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-03-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-03-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,21
2024-03-26,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-03-27,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-03-28,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,26
2024-03-29,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-03-30,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,34
2024-03-31,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,23
2024-04-01,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-04-02,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-04-03,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-04-04,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-04-05,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,22
2024-04-06,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-04-07,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-04-08,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,27
2024-04-09,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-04-10,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-04-11,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-04-12,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2024-04-13,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,31
2024-04-14,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,32
2024-04-15,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-04-16,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,36
2024-04-17,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,28
2024-04-18,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,35
2024-04-19,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,20
2024-04-20,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,25
2024-04-21,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,22
2024-04-22,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,30
2024-04-23,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,33
2024-04-24,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,29
2024-04-25,"108 E Ash St, Columbia, MO 65203",Russell Chapel Christian Methodist Episcopal Church,65203,38.95363262,-92.33596329,43
